brand,model,version,price,kilometraje,cylinder,city,region,year,fuel_type,transmission,doors,plate,description,only_owner,never_bumped,checked_maintenance,state
M. BENZ,X,"350D 4MATIC 3,0 LTS. CAMIONETA 4P. T/A 4X4 DIÉSEL",41990000,28000,3.0,Las Condes,13,2021,diesel,automatico,4,PTDY78,"Equipado con:
Radio con pantalla
Asiento de cuero alcantara Electricos
Calefactor de Asientos
Paddle Shift
Climatizador bizona
Anclaje de Arrastre
Sensores y cámara de retroceso 360º
Velocidad crucero
Mandos al volante
Smart Key
Modos de Conducción
Cubre PickUp
",,,,1
KIA,RIO 5,,10490000,78000,,Las Condes,13,2018,,,,KFRH15,,,,,1
JEEP,CHEROKEE,"TRAILHAWK 3,2 LTS. STATION WAGON 5P. T/A 4X4 OTTO",17990000,113000,3.2,Las Condes,13,2016,gasolina,automatico,4,GWZT96,"4X4, Top de linea, todo terreno full equipo, automatico, 9 velocidades, Tracción para nieve arena piedras y sport,, camara de retroceso, encendido a distancia, estacionamiento automático. Velocidad crucero, Calefacción diferenciada, de volante y asientos delanteros, techo panorámico, luces led ajustables, interior de cuero, sunroof.",,,,1
KIA,OPTIMA,,10990000,95000,,Cerrillos,13,2016,,,,HVWW63,"Automotora DyD 
Av Americo Vespucio Sur 2451, Cerrillos

CARSHOPPING

ÚLTIMO PRECIO OFERTA!

Versión EX 2.0 AUTOMATICO Full, Climatizador Bi Zona, 6Airbags, ABS, Alarma, Cierre Centralizado, Alza Vidrios Eléctricos, 2 Dueños, Pantalla y Cámara de retroceso, Sensores delanteros y traseros

Créditos, TC, Contado, Autos en parte pago 
",,,,1
M. BENZ,CLA,"220D 2,1 LTS. SEDÁN 4P. T/A",21990000,82000,2.1,Las Condes,13,2016,diesel,automatico,4,HPBT36,"voz, park assit, cámara y sensor de retroceso, sistema de colisión.",,,,1
PEUGEOT,106,,7990000,155000,1.4,Las Condes,13,2003,gasolina,mecanico,3,VP9681,"・ RADIO CD

・ AUX

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES MANUALES",,,,1
PEUGEOT,3008,1.5 BLUE HDI 130,17280000,90300,1.5,Las Condes,13,2020,diesel,automatico,4,PBDP81,"Radio con pantalla y conexion Carplay/AndroidAuto
Climatizador bi zona
Paddle Shift
Mandos al volante
Velocidad crucero
Modos de conducción
Modo Sport
Sensores de estacionamiento
Camara de retroceso
Smart Key
Start/Stop",,,,1
CHEVROLET,TRACKER,,8490000,57000,,Las Condes,13,2018,,,,KSPG23,,,,,1
AUDI,TT,"1,8 LTS.",18500000,61000,1.8,Las Condes,13,2014,gasolina,automatico,2,GHLJ88,"BUTACAS EN CUERO Y ALCANTARA CON AJUSTE MANUAL
CAJA AUTOMATICA
MODO SPORT
CLIMATIZADOR
MANDOS AL VOLANTE
SPOILER RETRACTIL
CONTROL CRUCERO",,,,1
NISSAN,X-TRAIL,,14500000,86000,,Macul,13,2021,,,,RAAR46,,,,,1
BMW,X1,SDRIVE20I,21990000,60500,2.0,Las Condes,13,2018,gasolina,automatico,4,KVCV71,"Asientos en cuero
comando voz
Aire climatizado
Sunroof
Cámara de retroceso
Luces de xenon con Led
Maleta eléctrica
Modos de conducción",,,,1
CHEVROLET,GROOVE,,9990000,67000,,Cerrillos,13,2021,,,,PKJW87,,,,,1
FORD,F-150,PLATINIUM,43990000,90000,3.5,Las Condes,13,2021,gasolina,automatico,4,PPYX25,"- PISADERA AUTOMATICA
- BUTACAS EN CUERO. CLIMATIZADAS Y CON MASAJE
- TECHO PANORAMICO SUNROOF
- ASISTENCIAS A LA CONDUCCION
- CONTROLES AL VOLANTE
- CLIMATIZADOR DE 3 ZONAS
- CLUSTER DIGITAL
- MODOS DE CONDUCCION DINAMICOS
- TRACCION 4X4 CON BLOQUEO DE DIFERNCIAL
- PORTALON TRASERO CON APERTURA AUTOMATICA
-",,,,1
VOLKSWAGEN,VOYAGE,,8090000,35000,1.6,Las Condes,13,2021,gasolina,mecanico,4,PTTL29,"・ COMANDOS AL VOLANTE

・ RADIO BLUETOOTH

・ APPLE CARPLAY

・ ANDROID AUTO

・ USB

・ AUX

・ SENSORES DE RETROCESO

・ AIRE ACONDICIONADO

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",True,,,1
TOYOTA,4RUNNER,4.0 4X4 5AT,11990000,139000,4.0,Las Condes,13,2011,gasolina,automatico,4,CRLH77,"Equipado con:
Modos de Conducción 4x4
3 corridas de asientos",,,,1
JEEP,COMPASS,,6990000,137000,,Cerrillos,13,2021,,,,DYKD77,"Automotora DyD 
Av Americo Vespucio Sur 2451, Cerrillos

CARSHOPPING

ULTIMO PRECIO!!

Versión 4X4 AUTOMATICO 2.4cc Full, Aire Acondicionado, Airbag, ABS, Alarma, Cierre Centralizado, Alza Vidrios Eléctricos, Único Dueño, 2Llaves

TC, Contado, Autos en parte pago 
Por el año NO es Financiable!!",,,,1
VOLKSWAGEN,NIVUS,1.0 TSI AT,16990000,14800,1.0,Las Condes,13,2022,gasolina,automatico,3,RWYV91,"Comando al volante
Maletero con capacidad de 415 Litros
Radio touch 10”
Climatizador
Seguridad
-Front Assist
-Detección de fatiga
-Frenado de emergencia en ciudad
-6 airbag de serie
-Asistente de arranque en pendientes
-2 anclajes ISOFIX para niños
Llantas de aleación 17""
-Luces diurnas, principales y traseras LED",True,,,1
AUDI,Q3,,13000000,170000,,Vitacura,13,2013,,,,FWVD31,"La Audi Q3 2.0 TFSI Quattro S-Line Automática destaca por su equipamiento de alta gama. Incluye tapicería de cuero, asientos deportivos, sistema de navegación MMI, Audi Drive Select, cámara de visión trasera, sensores de estacionamiento delanteros y traseros, llantas de aleación de diseño exclusivo, faros bixenón con luz diurna LED, techo panorámico, control de crucero, y acceso sin llave. Un vehículo que combina lujo, tecnología y rendimiento excepcional en un solo paquete.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
AUDI,Q2,"1,4 LTS 4X2 OTTO",18990000,101000,1.4,Las Condes,13,2018,gasolina,automatico,4,KGYB79,"Radio con pantalla
Asiento de cuero
Paddle Shift
Climatizador bizona
Sensores y cámara de retroceso
Velocidad crucero
Mandos al volante
Smart Key
Modos de Conducción",,,,1
SUZUKI,IGNIS,,7990000,31000,,Cerrillos,13,2020,,,,PBCW98,"ÚLTIMO PRECIO OFERTA!!
Versión 1.2cc JAPONESA Mecánico Full, Aire Acondicionado, Airbags, ABS, Alarma, Cierre Centralizado, Alza Vidrios Eléctricos, Único Dueño, Cámara, Pantalla Android

Créditos, TC, Contado, Autos en parte pago ",,,,1
MAZDA,BT-50,"3,2 LTS. DOHC PICK UP DOBLE CABINA 4P. 4X4 T/A MOTOR DIÉSEL",14970000,100235,3.2,Las Condes,13,2019,diesel,automatico,4,LCLH64,"Oportunidad , agende su visita y prueba .",,,,1
CHEVROLET,TRACKER,,9990000,93000,1.8,Las Condes,13,2018,gasolina,automatico,5,JZBL61,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ USB

・ AUX

・ SENSORES DE ESTACIONAMIENTO

・ CÁMARA TRASERA

・ AIRE ACONDICIONADO

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",True,True,,1
VOLVO,XC90,,49900000,34000,,Lo Barnechea,13,2022,,,,RSSK16,,,,,1
FORD,EXPLORER,"LIMITED 3,5 LTS. STATION WAGON 5P. T/A 4X4 OTTO",12900000,180000,3.5,Vitacura,13,2013,gasolina,automatico,5,FLSX89,ford explorer Limited 3.5 LTD  impecable con 3 corridas de asientos full cuero y equipamiento.,,True,True,1
DODGE,JOURNEY,"R/T 2,4 LTS. STATION WAGON 5P. 5 ASIENTOS T/A OTTO",12990000,1111,2.4,Conchalí,13,2017,gasolina,automatico,5,JFBB90,,True,True,,1
KIA,RIO 4,,9490000,20000,,Conchalí,13,2021,,,,RCLC26,,,,,1
MITSUBISHI,OUTLANDER,,22000000,28500,,Santiago,13,2022,,,,SCCY22,,,,,1
PEUGEOT,RIFTER,,15999000,62000,,Las Condes,13,2021,,,,PPHL95,,,,,1
VOLKSWAGEN,ATLAS,3.6 AT 4X4,23990000,85000,3.6,Las Condes,13,2018,gasolina,automatico,5,KHGD21,"・ SENSORES DE ESTACIONAMIENTO

・ CÁMARA TRASERA

・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ APPLE CARPLAY

・ ANDROID AUTO

・ CLIMATIZADOR BI ZONA

・ ASIENTOS CALEFACCIONADOS

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS ELECTRICOS CON DEFROSER",,,,1
MAZDA,BT-50,,16490000,82000,2.2,Las Condes,13,2020,diesel,mecanico,4,LRXW63,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ ANDROID AUTO

・ CLIMATIZADOR BI ZONA

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",,,,1
TOYOTA,RAV4,,15990000,62000,2.0,Las Condes,13,2018,gasolina,mecanico,5,LJSP24,"・ COMANDOS AL VOLANTE

・ RADIO BLUETOOTH

・ APPLE CARPLAY

・ ANDROID AUTO

・ SENSORES DE RETROCESO

・ CÁMARA TRASERA

・ AIRE ACONDICIONADO

・ MODOS DE CONDUCCIÓN

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",,,,1
HYUNDAI,SANTA FE,,20000000,125000,,Vitacura,13,2016,,,,JBCR98,"La Hyundai Santa Fe 2.4 WGN 4WD GLS AUT. es una SUV espaciosa y versátil. Equipada con tracción en las cuatro ruedas y transmisión automática, brinda estabilidad y control en diversas condiciones de manejo. Ofrece comodidades como asientos de tela, sistema de infoentretenimiento con pantalla táctil, conectividad Bluetooth y climatizador automático. Con amplio espacio interior y características de seguridad avanzadas, la Santa Fe garantiza una experiencia de conducción segura y confortable.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. Auto en parte de pago.",,,,1
TOYOTA,HILUX,"2,4 MT 4X2 DC",15490000,133000,2.4,Las Condes,13,2018,diesel,mecanico,4,KFYR30,"・ COMANDOS AL VOLANTE

・ RADIO BLUETOOTH

・ USB

・ AUX

・ AIRE ACONDICIONADO

・ BLOQUEO DE DIFERENCIAL

・ SENSORES DE RETROCESO

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",True,True,True,1
CHEVROLET,SILVERADO,,22000000,135000,,Vitacura,13,2018,,,,KBYK52,"La CHEVROLET SILVERADO 5.3 LT RC AUT. está equipada con un potente motor V8 de 5.3 litros, ofreciendo un rendimiento robusto y capacidad de remolque. Su interior es amplio y cómodo, con asientos de tela, aire acondicionado y un sistema de infoentretenimiento con pantalla táctil, Bluetooth y conectividad USB. Incluye características de seguridad como frenos ABS, control de estabilidad y múltiples airbags. Su diseño exterior es resistente, con llantas de aleación y una parrilla distintiva.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. ",,,,1
AUDI,A4,"1,4 LTS. SEDÁN 4P",18990000,72600,1.4,Las Condes,13,2018,gasolina,automatico,4,KBKG10,"Motor 1.4 turbo

Transmisión Automática 

Bencina

72.950 kms

Blanco Glaciar

Velocidad crucero 

Control por voz 

Modos de conducción

Start/Stop

Freno de mano eléctrico

Sensores de estacionamiento 

Climatizador",,,,1
SUBARU,XV,"2,0R 2,0 LTS. CVT DOHC WAGON 5P. AWD T/A MOTOR OTTO",13290000,84332,2.0,Ñuñoa,13,2018,gasolina,automatico,5,KRXJ44,"EN MUY BUEN ESTADO, TRACCION INTEGRAL, FULL EQUIPO, PAPELES AL DIA, TRANSFERENCIA INMEDIATA. 
FINANCIAMIENTO CON PIE HASTA EN 48 MESES.
OPCION DE PAGO CON TARJETA DE CREDITO. 
ÑUÑOA. ",,,,1
CUPRA,FORMENTOR,2.0 TSI AT 4X2,27490000,7000,2.0,Las Condes,13,2023,gasolina,automatico,4,SRLH57,"Cupra Formentor 2.0 TSI 190 HP 

Año 2023

Motor 2.0 Turbo 

190 HP 

Bencina 

Transmision Automática  

kilometros: 7.300

Único dueño 

Equipado con:

Asientos calefactables

techo panorámico

comandos touch

asiento piloto eléctrico

calienta volante

sonido beats audio

park assist

climatizador tri-zona

Laminas de seguridad",True,,,1
PEUGEOT,208,,13970000,50788,1.2,Las Condes,13,2021,gasolina,automatico,5,PSYR37,"Peugeot 208 1.2 Puretech Auto 130HP Allure Pack 2021

Información General:
- Única dueña.
- Todas las mantenciones al día en la marca, menos la última
- 50.788 kms.
- 2 llaves originales.
- Precio conversable.

Motor y rendimiento
- Motor: 1.2 litros PureTech turboalimentado, de 3 cilindros.
- Potencia: 130 caballos de fuerza.
- Transmisión: Caja de cambios automática de 8 velocidades.
- Tracción: Delantera (FWD).
- Consumo de combustible: 18-20 km/l en condiciones mixtas.

Diseño exterior:
- Espejos exteriores: Eléctricos

Interior y confort
- Capacidad: Espacio para 5 ocupantes.
- Climatización: Sistema de climatización automática bi-zona.
- KeyLess

Seguridad
- Asistencias al conductor: Frenado automático de emergencia, alerta de cambio involuntario de carril.
- Asistencia de estacionamiento con sensores traseros, y cámara de reversa.
- Airbags: Frontales, laterales y de cortina para todos los ocupantes.
- Control de estabilidad: Control de estabilidad electrónico) y control de trac",True,True,,1
FORD,MUSTANG,GT COUPE,27990000,76000,5.0,Las Condes,13,2018,gasolina,automatico,3,JXRV18," Asiento con frío y calor, comando de voz, paddel shift, asientos de cuero, sensor de punto ciego.

Extras: Laminas de seguridad, stage 1, pernos seguridad ruedas, marca de patente en espejos y vidrios.",,,,1
SUZUKI,DZIRE,,6500000,54000,,Macul,13,2018,,,,RAAR35,,,,,1
RENAULT,MEGANE,RS 1.8 T/A,29490000,28000,1.8,Las Condes,13,2020,gasolina,automatico,4,PYXK18,"Renault Megane RS

Año 2020

Motor 1.8 Turbo con 300 HP

Transmisión automática doble embrague 

28.000 km

Único dueño

Climatizador 

Modelos de conducción 

Sistema multimedia de 7”

Tapicería Alcantar Cuero

Chasis Renault Sport 

Sistema de audio Bose

llantas 19”

Tracción 4 control sistem

Lauch control 

RS Visión Full led 

",,,,1
SUBARU,FORESTER,,25980000,36805,2.5,Las Condes,13,2022,gasolina,automatico,5,RYTJ47,"Subaru Forester 2.5I AWD CVT Limited Eyesight Gardx 2022

Información General:
- Único dueño
- Mantenciones al día
- 36.805 Kms
- 2 llaves originales

Motor y transmisión:
- Motor: 2.5 litros de cuatro cilindros bóxer.
- Potencia: 182 caballos de fuerza.
- Transmisión: Automática de variador continuo.
- Tracción: Sistema AWD.

Interior y confort:
- Asientos: Tapicería de cuero.
- Climatización: Control de clima automático.
- Tecnología: Sistema multimedia con pantalla táctil de 8 pulgadas, compatible con Apple CarPlay y Android Auto.
- Sonido: Sistema de audio premium Harman Kardon, con 9 altavoces.

Seguridad:
- Cámaras: Cámaras de visión trasera y delantera.
-  Sistema Isofix.
- Seguridad: Bolsas de aire frontales, laterales y de cortina, junto con frenos ABS y control de estabilidad electrónico.
- Sistema GardX: Protección avanzada de la pintura y el interior del vehículo contra factores externos como rayos UV, manchas y desgaste.

 Tecnología:
- Sistema EYESIGHT: Control crucero ad",True,True,,1
ALFA ROMEO,GIULIA,VELOCE 280CV AT AWD,33990000,45000,2.0,Las Condes,13,2021,gasolina,automatico,4,PJLW97,,,,,1
CHEVROLET,ONIX,,10980000,13800,,San Miguel,13,2022,,,,RTFJ64,,,,,1
FORD,MUSTANG,MACH 1,42990000,16600,5.0,Las Condes,13,2022,gasolina,automatico,2,RLRH12,"Ford Mustang Mach1 

Año 2022

Motor 5.0 V8 y 470 HP

Transmision automatica 10 Vel

16.610 km

Tracción trasera

5 modos de conducción

Cuatro salidas de escapes

Distintas configuraciones 

Suspensión magnetica

Frenos Brembo

Iluminación techo estrellado",,,,1
MITSUBISHI,L200,"DAKAR 2,4 LTS. CAMIONETA 4P. T/A 4X4 DIÉSEL",18990000,117000,2.4,Las Condes,13,2018,diesel,automatico,4,KCKV96,"DESCUENTA IVA...!!
DIESEL
TIPTRONIC
PADLE SHIFT
7 AIRBAG
ASIENTO ELECTRICO
CUERO
MANOS LIBRES
CONTROL DE ESTABILIDAD
START STOP ENGINE
KEYLESS
CLIMATIZADOR
CAMARA Y SENSOR DE RETROCESO
PANTALLA TOUCH
BLUETOOTH
ESPEJOS RETRACTILES
NEBLINEROS
RECIBO VEHICULO EN PARTE DE PAGO
CREDITOS AUTOMOTRIZ
TARJETAS DE CREDITO
SEGUROS AUTOMOTRIZ
TRAMITES NOTARIALES Y DIGITALES
WWW.AUTOMOTIVECONSULTING.CL",,True,,1
BMW,X6,XDRIVE35I,51990000,55000,3.0,Las Condes,13,2020,gasolina,automatico,4,LZFL70,"Bmw X6 Xdrive 35i pack M 

Año 2020

Motor 3.0 T

Caja automática

55.000 kilómetros 

Panel Digital 

Climatizador

Llanta 21” M

Modos de conducción 

Asientos eléctricos con memoria

Stage 1 Kenner ",,,,1
GREAT WALL,WINGLE7,,15980000,80,,San Miguel,13,2022,,,,RXGK29,,,,,1
CHANGAN,CS35,PLUS 1.6 MT,6500000,90000,,Pudahuel,13,2016,gasolina,mecanico,5,HPCV99,"Aire acondicionado funcionando, anclaje isofix, Radio cd y mp3, Papeles al día , revisión técnica  hasta enero del 2025, muy económico y ágil para su manejo , se reemplazaron los neumáticos hace unos meses por unos de mayor agarre a terrenos de tierra, las 3 primeras mantenciones en Derco y el resto en particulares, no ha tenido choques pero si se metió a taller Derco por el seguro por un portón que cayó sobre el capot y foco izquierdo todo solucionado 100%.",True,True,,1
CHEVROLET,SILVERADO,"CC 5,3 LTS. CAMIONETA DOBLE CABINA 4P. T/A 4X4 OTTO",15490000,235000,5.3,Osorno,10,2014,gasolina,automatico,4,GHLZ84,Disponible en Automotriz Civas,,,,1
M. BENZ,E200,"2,0 LTS. SEDÁN 4P. T/A",29950000,32000,2.0,Concón,5,2018,gasolina,automatico,3,KTZZ46,,,,,1
FORD,EXPLORER,,7790000,113000,,Antofagasta,2,2011,,,,CWSC90,,,,,1
MAZDA,CX-3,,12590000,73400,,Las Condes,13,2018,,,,JYJH81,,,,,1
VOLVO,V40,,9300000,106000,1.6,Vitacura,13,2014,gasolina,mecanico,4,GHBZ16,"Volvo V40 T4 Comfort Turbo, 2014, Mecánico, Motor 1.6 bencina, 179 hp ágil y económico a la vez, 6 airbags, sensores de estacionamiento, neumáticos y batería nuevos, mantención recién realizada, Ver en Vitacura",,,,1
BMW,440,"I 3,0 LTS. CABRIOLET",59950000,34954,3.0,Las Condes,13,2022,gasolina,automatico,2,SCCY64,"El capricho que sólo algunos pueden tener, detalles y refinamiento sin fin a bordo del BMW 440i M Performance Sport XDrive Cabrio 2022, la carretera, el viento y tú pueden protagonizar los próximos kilómetros rodados sobre éste ejemplar alemán con tecnología de punta movido por un 3.0, 6 Cilindros en línea Twin Power Turbo (con 36.000 kms recorridos) que generan ni más ni menos que 374 HP que te llevan de 0 a 100 kms/hr en 4.9 seg, Tracción integral XDrive, Driving Assistant Parking Assistant, Live Cockpit Professional , Control por gestos, Sensores y cámara 360º, Asientos deportivos de cuero eléctricos con calefacción en el cuello, Conectividad Apple CarPlay y AndroidAuto, Sistema de sonido Harman Kardon y muchas otras características que te enamorarán...

*Mantenido en concesionario BMW La Dehesa*

⚡Valor: 59.950.000
📥Te ayudamos a financiarlo! También recibimos tu auto, pagos con Tarjeta de Crédito, financiamiento y transferencia digital, felices de ayudarte! ",True,True,True,1
CHEVROLET,TRACKER,"1,8 LTS. DOHC STATION WAGON 5P. 4X2 FWD T/A MOTOR OTTO",9990000,55000,1.8,Antofagasta,2,2019,gasolina,mecanico,5,KZJY30,Hay que reemplazar un sensor de retroceso y cambiar una moldura,True,,,1
VOLKSWAGEN,GOLF,,13500000,116000,,Vitacura,13,2018,,,,JYZP66,"El Volkswagen Golf 1.4 AUT. ofrece una combinación de rendimiento y confort. Equipado con un motor de 1.4 litros y transmisión automática, proporciona una conducción suave y eficiente. Su interior incluye características modernas como sistema de infoentretenimiento con pantalla táctil, conectividad Bluetooth y asientos cómodos con ajuste lumbar. Además, cuenta con tecnologías de seguridad avanzadas, como frenos antibloqueo (ABS) y control de tracción, asegurando una experiencia de conducción segura y placentera. 3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. Auto en parte de pago.",,,,1
VOLKSWAGEN,POLO,,11990000,52900,,Cerrillos,13,2021,,,,PSSJ97,,,,,1
NISSAN,MURANO,,22990000,39996,3.5,Machalí,6,2020,gasolina,automatico,4,LTVJ14,,True,,,1
PEUGEOT,2008,,6850000,200000,,Santo Domingo,5,2017,,,,JLRT11,Se vende por renovación todos sus documentos al día nada de multas muy económico diesel ,,,,1
FORD,ECOSPORT,,10490000,42672,1.5,Machalí,6,2021,diesel,mecanico,5,JYKX67,,True,True,,1
PEUGEOT,5008,,11990000,130000,,Las Condes,13,2017,,,,JDFG51,,,,,1
VOLVO,XC90,,49900000,34000,,Lo Barnechea,13,2022,,,,RSSK16,,,,,1
FORD,EXPLORER,"LIMITED 3,5 LTS. STATION WAGON 5P. T/A 4X4 OTTO",12900000,180000,3.5,Vitacura,13,2013,gasolina,automatico,5,FLSX89,ford explorer Limited 3.5 LTD  impecable con 3 corridas de asientos full cuero y equipamiento.,,True,True,1
DODGE,JOURNEY,"R/T 2,4 LTS. STATION WAGON 5P. 5 ASIENTOS T/A OTTO",12990000,1111,2.4,Conchalí,13,2017,gasolina,automatico,5,JFBB90,,True,True,,1
KIA,RIO 4,,9490000,20000,,Conchalí,13,2021,,,,RCLC26,,,,,1
FORD,EXPLORER,,9800000,172000,3.5,Vitacura,13,2011,gasolina,automatico,5,DCZZ78,"FORD EXPLORER XLT 3.5, 4X2, AUTOMATICA, TRES CORRIDAS DE ASIENTOS, SENSORES, CAMARA, 172.000 KMS, MUY BIEN CUIDADA",,,,1
NISSAN,MURANO,,9690000,152000,3.5,Vitacura,13,2013,gasolina,automatico,5,FRYJ75,"Nissan Murano 4WD año 2014, automática, 3.5 V6, 256 HP, versión full, top de linea, techo electrico, asientos electricos de cuero, velocidad crucero, bluetooth, pantalla de retroceso, sensores, ver en Vitacura",,,,1
CADILLAC,CTS,,41990000,68000,6.2,Las Condes,13,2014,gasolina,automatico,5,KHSW96,,,,,1
BMW,X3,"XDRIVE20D 2,0 LTS.",28890000,36000,2.0,Las Condes,13,2018,diesel,automatico,5,KSBG87,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ USB

・ AUX

・ SENSORES DE ESTACIONAMIENTO

・ AIRE ACONDICIONADO

・ MODOS DE CONDUCCIÓN

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",True,True,True,1
M. BENZ,C300,,26990000,66000,2.0,Las Condes,13,2019,diesel,automatico,4,LBBK18,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ AUX

・ USB

・ CLIMATIZADOR BI ZONA

・ MODOS DE CONDUCCIÓN

・ ASISTENCIAS DE CONDUCCIÓN

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ABATIBLES

・ ASIENTOS ELÉCTRICOS CON MEMORIA

・ SUNROOF ELÉCTRICO

・ SENSORES DE ESTACIONAMIENTO",,,,1
FORD,F-150,Raptor,24990000,153000,6.2,Las Condes,13,2015,gasolina,automatico,5,HHVW73,"・ SENSOR DE RETROCESO

・ CÁMARA TRASERA

・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ AUX

・ USB

・ CLIMATIZADOR BI ZONA

・ ASIENTOS CALEFACCIONADOS Y VENTILADOS

・ SELECTORA DE TRACCIÓN

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ABATIBLES

・ SUNROOF ELÉCTRICO",,,,1
FORD,EXPLORER,,35500000,45000,,Vitacura,13,2022,,,,RZDD47,"La Ford Explorer 2.3 4x2 AUT. es una SUV robusta y versátil. Con motor de 2.3 litros y transmisión automática, ofrece potencia y eficiencia. Su diseño incluye líneas aerodinámicas, faros LED y parrilla distintiva. En el interior, presenta asientos cómodos, sistema de infoentretenimiento SYNC con pantalla táctil, conectividad Bluetooth y climatizador automático. Equipada con tracción delantera, la Explorer brinda un rendimiento confiable tanto en carretera como en terrenos más exigentes3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. Auto en parte de pago.",,,,1
CHEVROLET,SILVERADO,,22000000,135000,,Vitacura,13,2018,,,,KBYK52,"La CHEVROLET SILVERADO 5.3 LT RC AUT. está equipada con un potente motor V8 de 5.3 litros, ofreciendo un rendimiento robusto y capacidad de remolque. Su interior es amplio y cómodo, con asientos de tela, aire acondicionado y un sistema de infoentretenimiento con pantalla táctil, Bluetooth y conectividad USB. Incluye características de seguridad como frenos ABS, control de estabilidad y múltiples airbags. Su diseño exterior es resistente, con llantas de aleación y una parrilla distintiva.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. ",,,,1
SUZUKI,SWIFT,,5990000,97000,1.2,Las Condes,13,2016,gasolina,mecanico,4,HWPB65,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO CD

・ USB

・ AIRE ACONDICIONADO

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",,,,1
HYUNDAI,ACCENT,,6980000,166000,,Maipú,13,2017,,,,JFBT31,,,,,1
RENAULT,FLUENCE,,6490000,97000,2.0,Las Condes,13,2011,gasolina,automatico,5,DGJT83,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO CD

・ CLIMATIZADOR BI ZONA

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ABATIBLES

・ ASIENTOS CALEFACCIONADOS

・ SUNROOF ELÉCTRICO

・ SENSORES DE RETROCESO",,,,1
NISSAN,NP300,,15450000,132000,,Macul,13,2020,,,,RAAR40,,,,,1
CITROEN,C3,,6490000,93000,1.6,Las Condes,13,2014,gasolina,automatico,5,GPRL97,"・ CONTROL CRUCERO

・ AIRE ACONDICIONADO

・ AUX

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ABATIBLES",True,,,1
FORD,F150,,18880000,98000,,Vitacura,13,2016,,,,HPXK39,,,,,1
SUBARU,LEGACY,,6950000,138000,2.0,Las Condes,13,2011,gasolina,automatico,5,DCTC52,"・ CONTROL CRUCERO

・ CÁMARA TRASERA

・ RADIO CD

・ AUX

・ CLIMATIZADOR BI ZONA

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",,,,1
BMW,X1,,22900000,47600,,La Serena,4,2021,,,,BBBB18,,,,,1
NISSAN,TERRANO,,6990000,240000,2.5,Las Condes,13,2024,diesel,mecanico,4,DRTF96,"・ RADIO CD

・ AUX

・ AIRE ACONDICIONADO

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ELÉCTRICOS",,,,1
FORD,EXPLORER,,20980000,88374,,Vitacura,13,2018,,,,JYKG58,,,,,1
